paper;sample;variable;group;nClusters;n;mean;sd;SE;decimalM;decimalSD;pReported;discreteItemsCount;nPerCellAssumed;notes
1;1;1;1;;61;1.69;0.8;;2;2;0.2;1;0;
1;1;1;2;;74;1.7;0.86;;2;2;0.2;1;0;
1;1;1;3;;70;1.75;0.76;;2;2;0.2;1;0;
8;1;1;1;;32;9.11;1.42;;2;2;0.69;;0;
8;1;1;2;;32;9.36;1.32;;2;2;0.69;;0;
8;1;1;3;;32;9.19;1.27;;2;2;0.69;;0;
9;1;1;1;;30;9.9;1.2;;1;1;;;;
9;1;1;2;;32;9.8;1.4;;1;1;;;;
9;1;2;1;;30;56.6;2.7;;1;1;;;;
9;1;2;2;;32;56.2;2.9;;1;1;;;;
9;1;3;1;;30;126.8;17.2;;1;1;;;;
9;1;3;2;;32;125.6;24.3;;1;1;;;;
9;1;4;1;;30;3.3;1;;1;0;;;;
9;1;4;2;;32;3.2;1;;1;0;;;;
9;1;5;1;;30;65;13.2;;1;1;;;;
9;1;5;2;;32;64.9;15.1;;1;1;;;;
9;1;6;1;;30;11.5;6;;1;1;;;;
9;1;6;2;;32;11.4;6.2;;1;1;;;;
9;1;7;1;;30;11.4;2.7;;1;1;;;;
9;1;7;2;;32;12.1;5.1;;1;1;;;;
9;1;8;1;;30;4.8;3.5;;1;1;;;;
9;1;8;2;;32;4;2.6;;1;1;;;;
9;1;9;1;;30;1.5;0.2;;1;1;;;;
9;1;9;2;;32;1.4;0.1;;1;1;;;;
9;1;10;1;;30;3.7;1.6;;1;1;;;;
9;1;10;2;;32;4.2;1.9;;1;1;;;;
9;1;11;1;;30;7;1.6;;1;1;;;;
9;1;11;2;;32;7;1.6;;1;1;;;;
11;1;1;1;;220;15.9;0.6;;1;1;;;;
11;1;1;2;;241;15.8;0.7;;1;1;;;;
11;1;2;1;;214;10.1;0.3;;1;1;;1;;
11;1;2;2;;240;10.1;0.4;;1;1;;1;;
11;1;3;1;;219;2.16;0.7;;2;2;;9;;
11;1;3;2;;239;2.21;0.73;;2;2;;9;;
11;1;4;1;;219;2.65;0.73;;2;2;;9;;
11;1;4;2;;239;2.52;0.74;;2;2;;9;;
11;1;5;1;;219;2;0.64;;2;2;;9;;
11;1;5;2;;239;2.09;0.69;;2;2;;9;;
11;1;6;1;;218;1.81;0.69;;2;2;;6;;
11;1;6;2;;238;1.8;0.67;;2;2;;6;;
14;1;1;1;;123;32.64;10.23;;2;2;0.993;;0;
14;1;1;2;;134;32.75;10.47;;2;2;0.993;;0;
14;1;1;3;;153;32.79;11.4;;2;2;0.993;;0;
14;1;2;1;;123;24.49;7.62;;2;2;0.558;10;0;
14;1;2;2;;134;23.9;7.89;;2;2;0.558;10;0;
14;1;2;3;;153;23.46;7.91;;2;2;0.558;10;0;
14;1;3;1;;123;23.82;7.15;;2;2;0.338;10;0;
14;1;3;2;;134;29.26;7.75;;2;2;0.338;10;0;
14;1;3;3;;153;29.63;7.46;;2;2;0.338;10;0;
14;1;4;1;;123;40.07;7.91;;2;2;0.865;20;;
14;1;4;2;;134;40.57;7.51;;2;2;0.865;20;;
14;1;4;3;;153;40.2;7.96;;2;2;0.865;20;;
14;1;5;1;;123;18.07;5.35;;2;2;0.534;4;;
14;1;5;2;;134;18.51;5.46;;2;2;0.534;4;;
14;1;5;3;;153;18.83;5.85;;2;2;0.534;4;;
14;1;6;1;;123;21.02;7.08;;2;2;0.422;5;;
14;1;6;2;;134;22.02;7.67;;2;2;0.422;5;;
14;1;6;3;;153;22.12;7.63;;2;2;0.422;5;;
21;1;1;1;;202;2.29;1.22;;2;2;;;1;
21;1;1;2;;202;2.25;1.37;;2;2;;;1;
21;1;2;1;;202;1.51;0.5;;2;2;;;1;
21;1;2;2;;202;1.5;0.5;;2;2;;;1;
21;1;3;1;;202;3.89;0.38;;2;2;;;1;
21;1;3;2;;202;3.83;0.36;;2;2;;;1;
21;1;4;1;;202;2.42;0.67;;2;2;;;1;
21;1;4;2;;202;2.48;0.65;;2;2;;;1;
21;1;5;1;;202;1.58;1.05;;2;2;;;1;
21;1;5;2;;202;1.55;1.14;;2;2;;;1;
21;1;6;1;;202;3.63;0.59;;2;2;;;1;
21;1;6;2;;202;3.59;0.69;;2;2;;;1;
21;1;7;1;;202;3.46;0.55;;2;2;;;1;
21;1;7;2;;202;3.44;0.54;;2;2;;;1;
21;1;8;1;;202;0.33;0.47;;2;2;;;1;
21;1;8;2;;202;0.3;0.46;;2;2;;;1;
21;1;9;1;;202;0.17;0.38;;2;2;;;1;
21;1;9;2;;202;0.1;0.3;;2;2;;;1;
21;1;10;1;;202;0.47;0.5;;2;2;;;1;
21;1;10;2;;202;0.35;0.48;;2;2;;;1;
21;1;11;1;;202;4.22;2.73;;2;2;;;1;
21;1;11;2;;202;4.9;2.95;;2;2;;;1;
21;2;1;1;;202;1.94;1.31;;2;2;;;1;
21;2;1;2;;202;2.11;1.29;;2;2;;;1;
21;2;2;1;;202;2.11;1.24;;2;2;;;1;
21;2;2;2;;202;1.9;1.28;;2;2;;;1;
21;2;3;1;;202;3.39;0.63;;2;2;;;1;
21;2;3;2;;202;3.45;0.61;;2;2;;;1;
24;1;1;1;;31;11.87;0.96;;2;2;0.86;;;
24;1;1;2;;36;11.83;0.81;;2;2;0.86;;;
24;2;1;1;;31;36.03;5.94;;2;2;0.8;;;
24;2;1;2;;36;36.43;6.43;;2;2;0.8;;;
24;1;2;1;;31;4.17;0.85;;2;2;;10;;
24;1;2;2;;36;3.9;0.98;;2;2;;10;;
24;1;3;1;;31;4.17;1.2;;2;2;;6;;
